1.326 -0.813 0.883 
1.311 -0.997 0.858 1.495 -0.876 0.840 
1.312 -1.111 0.852 1.521 -0.895 0.778 
1.297 -1.220 0.955 1.503 -0.926 0.881 
1.317 -1.276 0.831 1.499 -0.960 0.846 
1.283 -1.306 0.872 1.509 -1.073 0.786 
1.294 -1.333 0.930 1.505 -1.175 0.777 
1.306 -1.358 0.863 1.471 -1.268 0.887 
1.277 -1.352 0.902 
1.315 -1.380 0.810 
1.314 -1.408 0.833 
1.316 -1.476 0.798 
1.315 -1.554 0.733 
1.308 -1.675 0.743 
1.343 -1.830 0.704 
1.303 -2.005 0.673 1.491 -1.833 0.762 
1.283 -2.105 0.912 1.477 -1.841 0.827 
1.283 -2.168 0.861 1.478 -1.858 0.815 
1.287 -2.240 0.860 1.469 -1.915 0.880 
1.303 -2.290 0.778 1.469 -1.959 0.855 
1.288 -2.300 0.891 1.489 -2.088 0.688 
1.279 -2.295 0.864 1.485 -2.232 0.737 
1.281 -2.300 0.925 1.481 -2.346 0.771 
1.283 -2.314 0.886 
1.276 -2.326 0.891 
1.287 -2.370 0.827 
1.280 -2.407 0.852 
1.282 -2.463 0.815 
1.283 -2.518 0.823 1.494 -2.667 0.798 
1.291 -2.590 0.890 1.491 -2.688 0.847 
1.297 -2.705 0.731 1.480 -2.683 0.878 
1.280 -2.699 0.928 1.471 -2.696 0.925 
1.275 -2.704 0.936 1.460 -2.703 0.809 
1.278 -2.708 0.920 1.458 -2.770 0.875 
1.259 -2.700 0.903 
1.265 -2.697 0.845 
1.283 -2.722 0.804 
1.289 -2.702 0.916 
1.292 -2.708 0.876 
1.297 -2.704 0.897 
1.317 -2.715 0.865 
1.335 -2.722 0.895 
1.356 -2.734 0.903 
1.418 -2.768 0.917 
1.380 -3.009 0.865 1.467 -2.803 0.766 
1.380 -3.011 0.855 
1.382 -2.996 0.990 
1.379 -2.974 0.871 1.531 -2.835 0.849 
1.373 -2.962 0.776 1.543 -2.828 0.890 
1.542 -2.825 0.881 
1.354 -2.887 0.934 1.544 -2.828 0.829 
1.342 -2.860 0.929 1.542 -2.825 0.863 
1.335 -2.845 0.846 1.545 -2.830 0.922 
1.320 -2.814 0.840 1.529 -2.816 0.840 
1.315 -2.803 0.883 1.522 -2.817 0.854 
1.311 -2.809 0.942 
1.305 -2.813 0.846 
1.303 -2.809 0.841 
1.304 -2.810 0.872 1.494 -2.680 0.874 
1.302 -2.808 0.767 1.479 -2.615 0.933 
1.294 -2.791 0.850 1.497 -2.540 0.791 
1.305 -2.781 0.795 1.499 -2.493 0.777 
1.303 -2.748 0.910 1.492 -2.459 0.820 
1.290 -2.660 0.814 1.502 -2.439 0.897 
1.295 -2.598 0.798 1.514 -2.446 0.843 
1.305 -2.468 0.859 1.504 -2.430 0.877 
1.302 -2.313 0.791 
1.311 -2.225 0.732 
1.294 -2.091 0.853 
1.310 -2.075 0.796 
1.310 -2.046 0.674 
1.290 -2.014 0.819 
1.302 -2.004 0.870 
1.286 -1.962 0.879 1.491 -1.841 0.935 
1.287 -1.954 0.747 1.511 -1.745 0.927 
1.317 -1.952 0.718 1.506 -1.630 0.873 
1.295 -1.875 0.905 1.509 -1.590 0.916 
1.318 -1.788 0.717 1.521 -1.561 0.922 
1.317 -1.641 0.750 1.520 -1.547 0.897 
1.310 -1.494 0.805 1.514 -1.527 0.848 
1.347 -1.312 0.782 
1.326 -1.199 0.831 
1.352 -1.160 0.766 
1.329 -1.101 0.905 
1.337 -1.108 0.809 
1.323 -1.077 0.921 1.522 -1.106 0.743 
1.338 -1.079 0.780 1.547 -1.015 0.817 
1.325 -1.050 0.860 1.547 -0.834 0.873 0.397 1.376 0.873 
1.341 -1.033 0.742 1.551 -0.774 0.843 0.456 1.306 0.876 
1.321 -0.982 0.787 1.565 -0.734 0.846 0.482 1.287 0.924 0.129 1.195 0.613 
1.345 -0.915 0.766 1.556 -0.688 0.902 0.499 1.250 0.832 
1.339 -0.845 0.878 1.567 -0.685 0.837 0.527 1.208 0.834 0.346 1.071 0.712 
1.364 -0.696 0.857 1.563 -0.670 0.863 0.447 0.867 0.804 
1.347 -0.545 0.834 0.492 0.798 0.840 
1.540 -0.658 0.787 1.342 -0.462 0.863 
1.556 -0.620 0.949 1.347 -0.389 0.868 0.505 0.752 0.756 
1.538 -0.568 0.878 1.342 -0.366 0.896 0.699 0.806 0.835 
1.339 -0.350 0.844 0.708 0.771 0.805 0.527 0.783 0.688 
1.347 -0.339 0.936 0.729 0.805 0.856 0.521 0.795 0.721 
1.349 -0.327 0.867 0.571 0.829 0.532 
1.356 -0.322 0.914 0.708 0.789 0.744 0.531 0.787 0.821 
1.350 -0.327 0.946 0.530 0.787 0.840 
1.346 -0.335 0.756 1.563 -0.279 0.740 0.722 0.827 0.857 0.523 0.824 0.808 
